"Displacement:0","Displacement:1","Displacement:2","F33","J","Pressure","Nominal Stress:0","Nominal Stress:1","Nominal Stress:2","Nominal Stress:3","Nominal Stress:4","Nominal Stress:5","Nominal Stress:6","Nominal Stress:7","Nominal Stress:8","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.034866,0.10077,0,1.0001,1,0.00016531,-0.00064856,9.9789e-05,0,9.9681e-05,-4.9711e-06,0,0,0,0,1,0.31,-2.19,0,0
0.034865,0.10077,0,1.0001,1,0.00017139,-0.00064856,9.9789e-05,0,9.9681e-05,-4.9711e-06,0,0,0,0,1,0.3125,-2.1875,0,0
0.034865,0.10077,0,1.0001,1,0.00017748,-0.00064856,9.9789e-05,0,9.9681e-05,-4.9711e-06,0,0,0,0,1,0.315,-2.185,0,0
0.034864,0.10077,0,1.0001,1,0.00018356,-0.00064856,9.9789e-05,0,9.9681e-05,-4.9711e-06,0,0,0,0,1,0.3175,-2.1825,0,0
0.034864,0.10077,0,1.0001,1,0.00018965,-0.00064856,9.9789e-05,0,9.9681e-05,-4.9711e-06,0,0,0,0,1,0.32,-2.18,0,0
0.034864,0.10077,0,1.0001,1,0.00019574,-0.00064856,9.9789e-05,0,9.9681e-05,-4.9711e-06,0,0,0,0,1,0.3225,-2.1775,0,0
0.034863,0.10078,0,1.0001,1,0.00020182,-0.00087514,0.00021407,0,0.00021392,-1.4426e-05,0,0,0,0,1,0.325,-2.175,0,0
0.034863,0.10078,0,1.0001,1,0.0002087,-0.00084472,0.000112,0,0.0001118,-4.8927e-06,0,0,0,0,1,0.3275,-2.1725,0,0
0.034862,0.10078,0,1.0001,1,0.00021558,-0.00084472,0.000112,0,0.0001118,-4.8927e-06,0,0,0,0,1,0.33,-2.17,0,0
0.034861,0.10078,0,1.0001,1,0.00022245,-0.00084472,0.000112,0,0.0001118,-4.8927e-06,0,0,0,0,1,0.3325,-2.1675,0,0
0.034861,0.10078,0,1.0001,1,0.00022933,-0.00084472,0.000112,0,0.0001118,-4.8927e-06,0,0,0,0,1,0.335,-2.165,0,0
0.03486,0.10078,0,1.0001,1,0.00023621,-0.00084472,0.000112,0,0.0001118,-4.8927e-06,0,0,0,0,1,0.3375,-2.1625,0,0
0.03486,0.10078,0,1.0001,1,0.00024309,-0.00084472,0.000112,0,0.0001118,-4.8927e-06,0,0,0,0,1,0.34,-2.16,0,0
0.034859,0.10078,0,1.0001,1,0.00024996,-0.00084472,0.000112,0,0.0001118,-4.8927e-06,0,0,0,0,1,0.3425,-2.1575,0,0
0.034858,0.10078,0,1.0001,1,0.00025684,-0.00084472,0.000112,0,0.0001118,-4.8927e-06,0,0,0,0,1,0.345,-2.155,0,0
0.034858,0.10078,0,1.0001,1,0.00026372,-0.00084472,0.000112,0,0.0001118,-4.8927e-06,0,0,0,0,1,0.3475,-2.1525,0,0
0.034857,0.10078,0,1.0001,1,0.0002706,-0.0010837,0.00023796,0,0.00023769,-1.4255e-05,0,0,0,0,1,0.35,-2.15,0,0
0.034857,0.10078,0,1.0001,1,0.00027825,-0.0010634,0.0001241,0,0.00012377,-4.8293e-06,0,0,0,0,1,0.3525,-2.1475,0,0
0.034856,0.10078,0,1.0001,1,0.00028591,-0.0010634,0.0001241,0,0.00012377,-4.8293e-06,0,0,0,0,1,0.355,-2.145,0,0
0.034855,0.10078,0,1.0001,1,0.00029357,-0.0010634,0.0001241,0,0.00012377,-4.8293e-06,0,0,0,0,1,0.3575,-2.1425,0,0
0.034854,0.10078,0,1.0002,1,0.00030122,-0.0010634,0.0001241,0,0.00012377,-4.8293e-06,0,0,0,0,1,0.36,-2.14,0,0
0.034853,0.10079,0,1.0002,1,0.00030888,-0.0010634,0.0001241,0,0.00012377,-4.8293e-06,0,0,0,0,1,0.3625,-2.1375,0,0
0.034853,0.10079,0,1.0002,1,0.00031654,-0.0010634,0.0001241,0,0.00012377,-4.8293e-06,0,0,0,0,1,0.365,-2.135,0,0
0.034852,0.10079,0,1.0002,1,0.0003242,-0.0010634,0.0001241,0,0.00012377,-4.8293e-06,0,0,0,0,1,0.3675,-2.1325,0,0
0.034851,0.10079,0,1.0002,1,0.00033185,-0.0010634,0.0001241,0,0.00012377,-4.8293e-06,0,0,0,0,1,0.37,-2.13,0,0
0.03485,0.10079,0,1.0002,1,0.00033951,-0.0010634,0.0001241,0,0.00012377,-4.8293e-06,0,0,0,0,1,0.3725,-2.1275,0,0
0.03485,0.10079,0,1.0002,1,0.00034717,-0.0013137,0.00026168,0,0.00026128,-1.4132e-05,0,0,0,0,1,0.375,-2.125,0,0
0.034849,0.10079,0,1.0002,1,0.0003556,-0.0013046,0.00013611,0,0.00013562,-4.7838e-06,0,0,0,0,1,0.3775,-2.1225,0,0
0.034848,0.10079,0,1.0002,1,0.00036402,-0.0013046,0.00013611,0,0.00013562,-4.7838e-06,0,0,0,0,1,0.38,-2.12,0,0
